Division Name,Latitude,Longitude,Conservative National Party,Labor Party,Greens Party,Liberal Party,United Australia Party,temp,tweetText,tweetCreated,userLocation,Coordinates,TweetPlace,cleaned_text,clean_lemmatized,clean_lemmatized Positive Sentiment Score,clean_lemmatized Negative Sentiment Score,clean_lemmatized Neutral Sentiment Score,clean_lemmatized Compound Sentiment Score,longitude_x,latitude_x,distance
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,Nothing good ever comes from a “frank and robust discussion.” #auspol #ScottyFromDamageControl #ScottyTheAnnouncer #ScottyFromMarketing,2021-04-30 08:38:56,"Brisbane, Australia",[152.99319654 -27.38214299],"Brisbane, Queensland",nothing good ever comes “frank robust discussion.”    ,nothing good ever come “frank robust discussion.”,0.245,0.245,0.51,-0.0015,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,"Agreed @MrKRudd - this is pathetic, just like our current PM #MurdochGutterMedia #ScottyMustGo https://t.co/iKFYWduN9K",2021-04-28 10:51:19,"Queensland, Australia",[152.99319654 -27.38214299],"Brisbane, Queensland","agreed  - pathetic, like current pm  ","agreed - pathetic, like current pm",0.407,0.327,0.265,-0.0258,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,There was a movie once where prisoners wore a collar that gently removed their head if they strayed. Just an idea..… https://t.co/nSeTBvICP3,2021-04-26 22:37:57,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland",movie prisoners wore collar gently removed head strayed. idea..…,movie prisoner wore collar gently removed head strayed. idea..…,0.222,0.259,0.519,-0.128,152.99319654,-27.38214299,7.8851412879983656
Brisbane,-27.446,153.0280495,524.0,0.0,17228.0,0.0,968,1,RT @nhmrc the achievements with vaccines for #COVID19  in #year2020 were built on years of investment in research -… https://t.co/DqSBUjDrdv,2021-04-27 20:01:56,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland",rt  achievements vaccines   built years investment research -…,rt achievement vaccine built year investment research -…,0.0,0.0,1.0,0.0,152.99319654,-27.38214299,7.8851412879983656
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"Hey @ScottMorrisonMP , whatever happened to “everyone is welcome at god’s table”, or don’t you cover that at your P… https://t.co/Epv926obGc",2021-04-30 22:44:12,"Adelaide, Australia",[138.61115987 -35.00076706],"Adelaide, South Australia","hey  , whatever happened “everyone welcome god’s table”, don’t cover p…","hey , whatever happened “everyone welcome god’s table”, don’t cover p…",0.231,0.0,0.769,0.4588,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"This butterfly has a 94% chance of extinction within 20 years. 

In fact, it could already be #extinct. This is the… https://t.co/WpN446lZ6t",2021-04-28 10:40:00,Australia,[138.61115987 -35.00076706],"Adelaide, South Australia","butterfly 94% chance extinction within 20 years. fact, could already  the…","butterfly 94% chance extinction within 20 years. fact, could already the…",0.167,0.0,0.833,0.25,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"@DarylTractor @JaeRagnarok @DanielAndrewsMP &amp; the #labor state premiers did nothing?
#bullshit",2021-04-30 08:07:26,Adelaide Australia,[138.61115987 -35.00076706],"Adelaide, South Australia",   &amp;  state premiers nothing? ,&amp; state premier nothing?,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,#IMO @ScottMorrisonMP is a #vile #disgusting #humanbeing for wanting to #KeepAustraliansOut &amp;… https://t.co/ei3VQuJRRR,2021-05-01 11:17:47,Kaurna Land SA,[138.61115987 -35.00076706],"Adelaide, South Australia",     wanting  &amp;…,wanting &amp;…,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,I feel for all those in India! So many suffering &amp; dying from #COVID19. How many more will die whilst they wait for… https://t.co/hOsiqZrnHS,2021-05-01 02:50:51,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",feel india! many suffering &amp; dying  many die whilst wait for…,feel india! many suffering &amp; dying many die whilst wait for…,0.0,0.448,0.552,-0.807,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"#ScottyFromMarketing #ScottyFromCoverups #scottymustgo #MurdochGutterMedia #MurdochRoyalCommission
Alan Kohler: Sco… https://t.co/K2ihPLF4H2",2021-04-26 02:24:11,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",     alan kohler: sco…,alan kohler: sco…,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"#separatechurchandstate #ScottyMustGo
Scott Morrison wants Australians to know he’s a Pentecostal Christian, but qu… https://t.co/sOu1uXhSe8",2021-05-01 03:11:36,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia","  scott morrison wants australians know he’s pentecostal christian, qu…","scott morrison want australian know he’s pentecostal christian, qu…",0.14,0.0,0.86,0.0772,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,@toninicho No. We need proper quarantine.  Current plans just prop up Hotel Chains. We need proper quarantine for… https://t.co/lY1wssH97U,2021-04-26 06:01:16,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia", no. need proper quarantine. current plans prop hotel chains. need proper quarantine for…,no. need proper quarantine. current plan prop hotel chains. need proper quarantine for…,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"#DomesticViolence #EnoughIsEnough #EndViolenceAgainstWomen 
Kelly Wilkinson’s alleged killer told of murder charges… https://t.co/ydEH2vr86w",2021-05-01 03:11:36,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",   kelly wilkinson’s alleged killer told murder charges…,kelly wilkinson’s alleged killer told murder charges…,0.0,0.643,0.357,-0.875,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"#ScottyMustGo #ScottyTheGaslighter #ScottyFromHillsong #ClimateLeadersSummit
Scott Morrison’s climate summit speech… https://t.co/pKsJhxq5kz",2021-04-24 01:10:09,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",    scott morrison’s climate summit speech…,scott morrison’s climate summit speech…,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"#LNPfail #ScottyMustGo

FOI failure: The tricks our pollies and bureaucrats use to keep Australians in the dark | T… https://t.co/JFF5IFW7lk",2021-04-25 01:51:21,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",  foi failure: tricks pollies bureaucrats use keep australians dark | t…,foi failure: trick pollies bureaucrat use keep australian dark | t…,0.0,0.333,0.667,-0.5423,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"I called it over a week ago where #newspoll would be tonight. 

Marketing boy just did 10 days of a mini election a… https://t.co/2ot6a2LZKR",2021-04-25 12:11:13,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",called week ago  would tonight. marketing boy 10 days mini election a…,called week ago would tonight. marketing boy 10 day mini election a…,0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"Hey #ScottyTheChosenOne I’d start listening to @MarkMcGowanMP re quarantine facilities, after all, he is partly res… https://t.co/OktpD5ejQl",2021-04-27 12:42:08,"Adelaide, Australia",[138.61115987 -35.00076706],"Adelaide, South Australia","hey  i’d start listening  quarantine facilities, all, partly res…","hey i’d start listening quarantine facilities, all, partly res…",0.0,0.0,1.0,0.0,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"#ScottyFromGilead #ScottyBlahBlah #ScottyMustGo 
‘Fuel on the fire’: war of words between Australia and China stoke… https://t.co/WxbrNAXH0x",2021-04-29 02:51:39,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia",   ‘fuel fire’: war words australia china stoke…,‘fuel fire’: war word australia china stoke…,0.0,0.394,0.606,-0.5994,138.61115987,-35.00076706,10.719644947128872
Adelaide,-34.905106,138.596,0.0,0.0,12475.0,26787.0,2292,1,"We’ve got to keep making noise Australia, we can’t grow silent again on violence against women and children. Silenc… https://t.co/8mobloxL5h",2021-04-30 23:17:51,,[138.61115987 -35.00076706],"Adelaide, South Australia","we’ve got keep making noise australia, can’t grow silent violence women children. silenc…","we’ve got keep making noise australia, can’t grow silent violence woman children. silenc…",0.0,0.255,0.745,-0.6249,138.61115987,-35.00076706,10.719644947128872
